ticket_id,user_id,ticket_time,category,resolution_time_hours
57,258,2023-05-12 00:00:00,KYC Issue,60.66
58,267,2023-05-28 00:00:00,KYC Issue,16.03
59,269,2024-03-23 00:00:00,KYC Issue,34.22
60,279,2024-10-05 00:00:00,KYC Issue,40.26
61,285,2024-12-13 00:00:00,Payment Failure,26.07
62,287,2024-01-02 00:00:00,KYC Issue,3.78
63,288,2024-07-14 00:00:00,KYC Issue,56.02
64,292,2024-06-23 00:00:00,Payment Failure,37.43
65,294,2023-02-19 00:00:00,Account Access,19.28
66,298,2023-07-28 00:00:00,Account Access,7.71
67,299,2024-04-12 00:00:00,Payment Failure,43.98
68,306,2024-03-30 00:00:00,KYC Issue,6.62
69,308,2024-12-18 00:00:00,KYC Issue,57.37
70,309,2024-11-26 00:00:00,Account Access,4.83
71,311,2024-09-27 00:00:00,Payment Failure,14.99
72,319,2024-08-21 00:00:00,Payment Failure,62.89
73,325,2023-12-31 00:00:00,Account Access,6.99
74,327,2023-12-16 00:00:00,KYC Issue,50.08
75,331,2023-06-07 00:00:00,KYC Issue,30.45
76,334,2023-10-23 00:00:00,KYC Issue,55.21
77,337,2023-07-31 00:00:00,KYC Issue,54.52
78,343,2023-10-05 00:00:00,Account Access,62.77
79,345,2024-12-04 00:00:00,KYC Issue,53.17
80,346,2023-07-11 00:00:00,Payment Failure,46.73
81,349,2024-11-14 00:00:00,Payment Failure,58.03
82,352,2024-02-27 00:00:00,Payment Failure,56.7
83,358,2023-05-17 00:00:00,KYC Issue,11.53
84,363,2024-02-10 00:00:00,Payment Failure,22.4
85,365,2023-08-08 00:00:00,Account Access,67.91
86,369,2023-07-21 00:00:00,Payment Failure,30.55
87,371,2024-01-09 00:00:00,Payment Failure,56.85
88,374,2023-12-12 00:00:00,Payment Failure,62.05
89,385,2023-06-07 00:00:00,Payment Failure,50.73
90,390,2023-01-23 00:00:00,KYC Issue,25.18
91,391,2024-12-08 00:00:00,Payment Failure,66.88
92,393,2024-07-16 00:00:00,KYC Issue,30.39
93,394,2024-05-27 00:00:00,KYC Issue,58.86
94,395,2024-11-25 00:00:00,Payment Failure,5.77
95,396,2025-01-05 00:00:00,Payment Failure,26.43
96,401,2024-10-24 00:00:00,KYC Issue,31.64
97,402,2024-06-09 00:00:00,Payment Failure,65.33
98,409,2024-01-24 00:00:00,Account Access,28.57
99,410,2023-07-11 00:00:00,Payment Failure,37.0
100,415,2023-06-15 00:00:00,Payment Failure,59.18
101,416,2023-07-16 00:00:00,Account Access,65.42
102,418,2024-12-20 00:00:00,Account Access,32.48
103,420,2024-12-06 00:00:00,Account Access,67.97
104,428,2024-09-10 00:00:00,KYC Issue,32.72
105,429,2024-01-30 00:00:00,Payment Failure,50.01
106,437,2024-02-02 00:00:00,KYC Issue,5.19
107,442,2024-05-12 00:00:00,Payment Failure,56.99
108,445,2024-08-14 00:00:00,Payment Failure,41.66
109,446,2023-02-18 00:00:00,Account Access,68.1
110,451,2024-01-27 00:00:00,KYC Issue,3.23
111,453,2024-02-29 00:00:00,Account Access,68.48
112,456,2024-02-11 00:00:00,KYC Issue,39.23
113,465,2024-03-03 00:00:00,Account Access,14.48
114,469,2023-02-14 00:00:00,Payment Failure,24.12
115,471,2023-12-31 00:00:00,KYC Issue,54.16
116,472,2024-05-16 00:00:00,Payment Failure,33.63
117,473,2023-04-19 00:00:00,Payment Failure,32.41
118,477,2024-03-26 00:00:00,KYC Issue,37.64
119,483,2024-01-21 00:00:00,KYC Issue,52.83
120,484,2024-07-02 00:00:00,KYC Issue,2.14
121,487,2023-10-14 00:00:00,KYC Issue,40.54
122,494,2024-02-24 00:00:00,Account Access,43.7
123,495,2024-09-14 00:00:00,Account Access,48.82
124,497,2023-11-21 00:00:00,Payment Failure,58.53
125,507,2023-02-04 00:00:00,KYC Issue,56.36
126,509,2023-05-01 00:00:00,KYC Issue,31.8
127,511,2023-05-16 00:00:00,Payment Failure,53.78
128,517,2024-03-21 00:00:00,KYC Issue,6.11
129,518,2024-11-17 00:00:00,KYC Issue,24.6
130,521,2024-04-22 00:00:00,Payment Failure,66.92
131,525,2023-04-18 00:00:00,Account Access,22.82
132,530,2023-04-21 00:00:00,Payment Failure,25.7
133,533,2024-01-14 00:00:00,Payment Failure,69.84
134,534,2023-02-14 00:00:00,Payment Failure,24.04
135,538,2023-09-20 00:00:00,Payment Failure,51.27
136,539,2024-07-28 00:00:00,Payment Failure,22.31
137,541,2023-11-28 00:00:00,KYC Issue,40.87
138,542,2023-05-17 00:00:00,Payment Failure,11.04
139,545,2024-11-19 00:00:00,Account Access,66.08
140,547,2023-09-09 00:00:00,Payment Failure,37.77
141,554,2024-05-20 00:00:00,KYC Issue,16.79
142,556,2023-08-23 00:00:00,KYC Issue,32.48
143,559,2024-11-02 00:00:00,Account Access,49.55
144,563,2024-08-08 00:00:00,KYC Issue,16.58
145,564,2023-06-01 00:00:00,Payment Failure,65.27
146,568,2024-07-22 00:00:00,KYC Issue,42.48
147,570,2024-03-18 00:00:00,Payment Failure,26.38
148,573,2023-11-05 00:00:00,Account Access,45.54
149,577,2023-11-02 00:00:00,KYC Issue,5.41
150,579,2023-05-12 00:00:00,KYC Issue,49.26
151,590,2025-01-11 00:00:00,Payment Failure,16.63
152,595,2024-03-20 00:00:00,KYC Issue,24.74
153,598,2024-02-27 00:00:00,KYC Issue,68.66
154,601,2024-03-04 00:00:00,KYC Issue,8.59
155,608,2024-01-16 00:00:00,KYC Issue,61.22
156,613,2024-03-03 00:00:00,Account Access,28.99
157,614,2023-04-15 00:00:00,KYC Issue,6.58
158,615,2024-07-14 00:00:00,KYC Issue,37.87
159,630,2024-03-28 00:00:00,KYC Issue,49.91
160,634,2023-08-12 00:00:00,KYC Issue,52.47
161,635,2023-10-14 00:00:00,Payment Failure,17.47
162,637,2023-09-08 00:00:00,KYC Issue,25.29
163,640,2024-12-16 00:00:00,KYC Issue,23.21
164,647,2024-08-19 00:00:00,KYC Issue,49.15
165,650,2024-07-20 00:00:00,KYC Issue,14.66
166,655,2024-10-30 00:00:00,KYC Issue,62.11
167,659,2024-02-19 00:00:00,Payment Failure,67.81
168,661,2023-05-25 00:00:00,Payment Failure,49.93
169,666,2023-08-31 00:00:00,KYC Issue,41.39
170,668,2023-12-16 00:00:00,KYC Issue,62.14
171,672,2024-04-12 00:00:00,Payment Failure,71.53
172,676,2023-10-31 00:00:00,KYC Issue,53.56
173,677,2023-10-22 00:00:00,Payment Failure,15.56
174,687,2024-02-21 00:00:00,KYC Issue,39.46
175,688,2024-09-25 00:00:00,KYC Issue,60.79
176,690,2023-03-12 00:00:00,Account Access,21.17
177,693,2023-03-25 00:00:00,KYC Issue,3.01
178,698,2025-01-18 00:00:00,Payment Failure,25.2
179,704,2024-09-22 00:00:00,Account Access,37.01
180,706,2023-06-11 00:00:00,Payment Failure,4.29
181,708,2023-08-16 00:00:00,Payment Failure,36.75
182,711,2024-04-05 00:00:00,Payment Failure,26.46
183,712,2023-05-23 00:00:00,Account Access,52.08
184,716,2024-09-08 00:00:00,KYC Issue,51.68
185,719,2023-04-15 00:00:00,KYC Issue,23.14
186,721,2023-03-30 00:00:00,Account Access,9.84
187,723,2024-10-01 00:00:00,Payment Failure,59.32
188,733,2024-01-03 00:00:00,KYC Issue,16.55
189,741,2023-11-17 00:00:00,KYC Issue,8.4
190,747,2023-05-29 00:00:00,KYC Issue,5.36
191,749,2024-06-04 00:00:00,KYC Issue,11.87
192,752,2024-07-11 00:00:00,KYC Issue,41.68
193,754,2023-12-31 00:00:00,Payment Failure,17.39
194,759,2024-08-27 00:00:00,Payment Failure,57.96
195,761,2024-05-17 00:00:00,Payment Failure,49.45
196,763,2023-02-14 00:00:00,Payment Failure,3.65
197,765,2023-03-03 00:00:00,Account Access,65.24
198,766,2023-07-23 00:00:00,KYC Issue,36.72
199,769,2023-06-22 00:00:00,KYC Issue,48.5
200,774,2025-01-15 00:00:00,KYC Issue,12.39
201,784,2024-01-12 00:00:00,Payment Failure,6.54
202,788,2023-09-04 00:00:00,Payment Failure,11.5
203,792,2024-03-13 00:00:00,Payment Failure,5.01
204,800,2023-08-16 00:00:00,KYC Issue,62.63
205,801,2024-06-08 00:00:00,KYC Issue,63.12
206,803,2024-04-21 00:00:00,KYC Issue,25.4
207,813,2024-11-07 00:00:00,Payment Failure,46.88
208,818,2023-10-07 00:00:00,KYC Issue,60.37
209,822,2023-04-29 00:00:00,KYC Issue,43.98
210,823,2023-08-06 00:00:00,Account Access,4.87
211,824,2023-05-23 00:00:00,KYC Issue,64.02
212,826,2024-10-12 00:00:00,Account Access,55.7
213,830,2023-07-18 00:00:00,KYC Issue,8.95
214,837,2024-09-29 00:00:00,Payment Failure,68.43
215,842,2023-12-03 00:00:00,Account Access,6.89
216,844,2023-01-20 00:00:00,Account Access,24.82
217,853,2024-05-23 00:00:00,KYC Issue,38.49
218,858,2024-11-10 00:00:00,Payment Failure,11.82
219,860,2024-06-26 00:00:00,Account Access,27.77
220,864,2023-10-12 00:00:00,Payment Failure,24.72
221,868,2023-06-02 00:00:00,KYC Issue,11.7
222,869,2024-03-12 00:00:00,Payment Failure,13.26
223,870,2024-07-14 00:00:00,Account Access,4.11
224,875,2023-07-11 00:00:00,KYC Issue,26.38
225,878,2023-03-14 00:00:00,Payment Failure,53.96
226,879,2024-11-11 00:00:00,Account Access,41.39
227,880,2024-08-16 00:00:00,Payment Failure,4.91
228,881,2024-04-07 00:00:00,Account Access,70.5
229,883,2023-09-23 00:00:00,KYC Issue,58.06
230,884,2024-03-09 00:00:00,KYC Issue,61.46
231,887,2024-11-20 00:00:00,Payment Failure,18.02
232,899,2024-05-04 00:00:00,KYC Issue,25.29
233,901,2024-05-08 00:00:00,KYC Issue,38.63
234,904,2024-04-13 00:00:00,Payment Failure,4.24
235,905,2024-07-26 00:00:00,Payment Failure,42.77
236,911,2024-11-19 00:00:00,KYC Issue,26.06
237,914,2024-08-31 00:00:00,KYC Issue,52.69
238,919,2024-09-04 00:00:00,Account Access,23.73
239,920,2023-04-11 00:00:00,Payment Failure,66.07
240,927,2024-12-12 00:00:00,Payment Failure,34.97
241,928,2023-10-17 00:00:00,Payment Failure,28.21
242,933,2024-01-05 00:00:00,Payment Failure,70.39
243,934,2023-09-23 00:00:00,KYC Issue,41.51
244,944,2024-05-05 00:00:00,KYC Issue,48.91
245,947,2023-05-19 00:00:00,Account Access,18.87
246,948,2024-05-30 00:00:00,KYC Issue,63.9
247,950,2024-05-23 00:00:00,Payment Failure,46.11
248,952,2024-02-07 00:00:00,Payment Failure,15.32
249,953,2023-01-16 00:00:00,KYC Issue,27.54
250,960,2023-08-05 00:00:00,Account Access,16.68
251,961,2023-04-04 00:00:00,Payment Failure,12.04
252,962,2023-02-25 00:00:00,KYC Issue,9.14
253,967,2023-02-09 00:00:00,Account Access,41.79
254,971,2023-10-20 00:00:00,Payment Failure,14.97
255,980,2024-04-27 00:00:00,KYC Issue,2.56
256,981,2023-04-27 00:00:00,Account Access,31.04
257,982,2023-02-26 00:00:00,Account Access,2.4
258,985,2023-11-26 00:00:00,Payment Failure,26.26
259,986,2023-02-16 00:00:00,Payment Failure,32.04
260,987,2023-03-31 00:00:00,Payment Failure,43.03
261,992,2023-03-08 00:00:00,Account Access,20.4
262,993,2023-05-09 00:00:00,KYC Issue,50.54
263,996,2024-11-26 00:00:00,KYC Issue,34.49
264,998,2024-11-04 00:00:00,KYC Issue,39.18
265,1002,2024-03-31 00:00:00,KYC Issue,66.69
266,1007,2023-07-13 00:00:00,Account Access,66.65
267,1010,2023-10-13 00:00:00,Payment Failure,10.48
268,1011,2024-06-25 00:00:00,Payment Failure,39.02
269,1012,2023-10-16 00:00:00,KYC Issue,9.05
270,1013,2023-03-30 00:00:00,Payment Failure,5.63
271,1023,2024-02-21 00:00:00,KYC Issue,40.24
272,1029,2023-12-29 00:00:00,Account Access,16.39
273,1030,2023-10-28 00:00:00,KYC Issue,12.2
274,1032,2023-08-15 00:00:00,Account Access,40.11
275,1033,2023-04-26 00:00:00,Account Access,64.11
276,1034,2023-04-14 00:00:00,Payment Failure,27.51
277,1035,2025-01-01 00:00:00,Account Access,21.05
278,1036,2023-05-22 00:00:00,Account Access,60.44
279,1043,2024-03-21 00:00:00,Account Access,67.22
280,1044,2024-03-28 00:00:00,KYC Issue,64.87
281,1045,2024-07-03 00:00:00,KYC Issue,64.87
282,1050,2024-07-12 00:00:00,Payment Failure,68.96
283,1051,2023-10-22 00:00:00,Payment Failure,65.55
284,1056,2023-01-27 00:00:00,KYC Issue,11.97
285,1061,2023-07-12 00:00:00,Payment Failure,10.32
286,1064,2023-10-04 00:00:00,Payment Failure,40.06
287,1067,2024-03-04 00:00:00,Account Access,51.94
288,1071,2024-07-31 00:00:00,KYC Issue,47.13
289,1074,2024-02-04 00:00:00,KYC Issue,27.55
290,1075,2024-08-07 00:00:00,KYC Issue,51.53
291,1077,2023-10-07 00:00:00,Payment Failure,45.91
292,1081,2024-05-13 00:00:00,Payment Failure,4.59
293,1084,2023-12-19 00:00:00,KYC Issue,68.98
294,1085,2023-05-31 00:00:00,Payment Failure,20.24
295,1090,2024-06-25 00:00:00,KYC Issue,62.13
296,1092,2024-10-31 00:00:00,Account Access,27.56
297,1098,2023-06-24 00:00:00,Payment Failure,19.43
298,1101,2023-03-20 00:00:00,KYC Issue,47.37
299,1105,2023-03-16 00:00:00,Payment Failure,33.03
300,1109,2024-10-27 00:00:00,KYC Issue,46.79
301,1110,2023-08-30 00:00:00,Payment Failure,31.92
302,1126,2024-04-03 00:00:00,Account Access,67.24
303,1129,2024-04-13 00:00:00,KYC Issue,52.18
304,1130,2024-10-28 00:00:00,KYC Issue,9.59
305,1135,2024-05-07 00:00:00,KYC Issue,14.0
306,1136,2024-05-02 00:00:00,KYC Issue,35.92
307,1139,2023-07-02 00:00:00,Account Access,56.74
308,1142,2023-05-04 00:00:00,Account Access,56.7
309,1146,2023-07-18 00:00:00,KYC Issue,48.31
310,1161,2023-09-15 00:00:00,KYC Issue,44.51
311,1163,2024-07-15 00:00:00,KYC Issue,10.46
312,1164,2023-03-03 00:00:00,Payment Failure,43.16
313,1166,2023-04-24 00:00:00,KYC Issue,35.97
314,1169,2024-01-08 00:00:00,KYC Issue,44.4
315,1175,2024-05-02 00:00:00,Payment Failure,17.56
316,1181,2023-09-04 00:00:00,KYC Issue,57.63
317,1185,2024-05-12 00:00:00,Account Access,21.28
318,1206,2024-05-15 00:00:00,KYC Issue,50.12
319,1207,2024-11-12 00:00:00,KYC Issue,21.34
320,1212,2024-11-03 00:00:00,Payment Failure,44.88
321,1224,2024-07-07 00:00:00,Payment Failure,23.84
322,1229,2024-10-31 00:00:00,Payment Failure,21.58
323,1231,2023-07-25 00:00:00,Account Access,66.18
324,1232,2024-02-10 00:00:00,KYC Issue,63.97
325,1239,2024-10-20 00:00:00,KYC Issue,60.94
326,1247,2023-09-05 00:00:00,KYC Issue,45.85
327,1250,2023-10-30 00:00:00,KYC Issue,30.76
328,1252,2024-07-27 00:00:00,Payment Failure,17.09
329,1256,2024-08-08 00:00:00,KYC Issue,55.76
330,1260,2024-03-27 00:00:00,KYC Issue,39.4
331,1262,2023-11-26 00:00:00,Payment Failure,29.77
332,1264,2024-11-05 00:00:00,Payment Failure,70.63
333,1265,2023-07-24 00:00:00,Payment Failure,60.15
334,1266,2023-11-02 00:00:00,KYC Issue,51.2
335,1272,2024-09-30 00:00:00,KYC Issue,63.65
336,1280,2023-05-08 00:00:00,KYC Issue,71.36
337,1281,2024-04-16 00:00:00,KYC Issue,30.11
338,1282,2024-01-18 00:00:00,Account Access,40.93
339,1295,2023-06-26 00:00:00,KYC Issue,15.08
340,1301,2023-10-24 00:00:00,Account Access,40.38
341,1304,2024-01-31 00:00:00,Account Access,56.85
342,1306,2023-02-04 00:00:00,KYC Issue,17.39
343,1307,2024-03-27 00:00:00,KYC Issue,51.26
344,1317,2024-03-02 00:00:00,KYC Issue,19.67
345,1319,2024-09-17 00:00:00,KYC Issue,13.95
346,1321,2024-07-07 00:00:00,KYC Issue,39.73
347,1325,2023-07-03 00:00:00,Payment Failure,50.0
348,1334,2023-11-23 00:00:00,Payment Failure,68.81
349,1336,2023-10-05 00:00:00,KYC Issue,41.06
350,1342,2023-09-17 00:00:00,Payment Failure,64.74
351,1344,2024-07-07 00:00:00,Account Access,55.47
352,1346,2023-08-18 00:00:00,Payment Failure,13.16
353,1347,2024-07-14 00:00:00,Payment Failure,58.18
354,1348,2023-04-05 00:00:00,KYC Issue,69.44
355,1349,2024-02-19 00:00:00,KYC Issue,59.33
356,1350,2023-06-22 00:00:00,Payment Failure,17.25
357,1353,2024-09-16 00:00:00,Payment Failure,37.2
358,1357,2024-03-28 00:00:00,Payment Failure,61.55
359,1360,2024-09-23 00:00:00,KYC Issue,19.33
360,1364,2023-05-06 00:00:00,KYC Issue,33.32
361,1366,2023-04-17 00:00:00,Payment Failure,42.44
362,1371,2024-11-30 00:00:00,Payment Failure,16.3
363,1376,2023-06-02 00:00:00,Account Access,23.49
364,1385,2023-06-22 00:00:00,Payment Failure,9.81
365,1391,2023-08-04 00:00:00,KYC Issue,59.67
366,1393,2023-12-30 00:00:00,KYC Issue,64.13
367,1398,2024-09-30 00:00:00,Payment Failure,57.17
368,1403,2023-12-28 00:00:00,Payment Failure,35.25
369,1410,2024-12-21 00:00:00,Account Access,51.48
370,1414,2023-03-07 00:00:00,Payment Failure,68.4
371,1421,2023-11-09 00:00:00,Account Access,60.18
372,1422,2024-10-04 00:00:00,Payment Failure,43.11
373,1424,2023-02-01 00:00:00,Payment Failure,40.62
374,1428,2024-11-26 00:00:00,Account Access,36.96
375,1433,2023-03-25 00:00:00,KYC Issue,24.58
376,1436,2023-07-02 00:00:00,KYC Issue,36.17
377,1444,2023-03-11 00:00:00,KYC Issue,44.58
378,1446,2024-02-15 00:00:00,KYC Issue,57.31
379,1447,2023-06-03 00:00:00,Payment Failure,35.06
380,1450,2023-02-19 00:00:00,KYC Issue,15.16
381,1451,2024-06-09 00:00:00,Payment Failure,62.24
382,1452,2024-10-21 00:00:00,KYC Issue,30.26
383,1455,2023-07-10 00:00:00,KYC Issue,69.91
384,1456,2024-09-02 00:00:00,Payment Failure,12.23
385,1458,2023-06-14 00:00:00,Payment Failure,46.95
386,1462,2023-01-20 00:00:00,KYC Issue,47.93
387,1464,2023-09-07 00:00:00,KYC Issue,66.43
388,1465,2024-02-22 00:00:00,Payment Failure,59.26
389,1466,2024-11-24 00:00:00,Account Access,42.23
390,1467,2024-01-23 00:00:00,Account Access,64.83
391,1468,2024-03-01 00:00:00,Payment Failure,66.55
392,1469,2024-01-23 00:00:00,KYC Issue,33.39
393,1472,2025-01-10 00:00:00,Payment Failure,46.85
394,1473,2023-11-07 00:00:00,Payment Failure,9.75
395,1479,2024-05-20 00:00:00,Payment Failure,34.84
396,1481,2024-02-06 00:00:00,Payment Failure,16.15
397,1488,2023-01-29 00:00:00,KYC Issue,5.14
398,1500,2023-08-12 00:00:00,Account Access,18.41
399,1501,2023-10-06 00:00:00,KYC Issue,51.19
400,1509,2023-03-06 00:00:00,KYC Issue,24.19
401,1515,2023-06-21 00:00:00,KYC Issue,24.45
402,1524,2023-12-16 00:00:00,Payment Failure,17.09
403,1538,2023-05-04 00:00:00,KYC Issue,20.09
404,1541,2024-04-09 00:00:00,KYC Issue,66.85
405,1543,2023-01-27 00:00:00,Account Access,40.81
406,1544,2024-02-27 00:00:00,Account Access,43.98
407,1554,2023-11-02 00:00:00,KYC Issue,15.63
408,1574,2024-04-12 00:00:00,Payment Failure,70.64
409,1579,2025-01-15 00:00:00,KYC Issue,40.5
410,1580,2025-01-11 00:00:00,KYC Issue,39.77
411,1581,2024-10-28 00:00:00,KYC Issue,35.82
412,1583,2023-10-08 00:00:00,Account Access,39.32
413,1596,2023-04-12 00:00:00,KYC Issue,62.25
414,1607,2023-02-14 00:00:00,KYC Issue,8.49
415,1609,2023-10-04 00:00:00,KYC Issue,18.84
416,1610,2024-08-08 00:00:00,Payment Failure,22.99
417,1619,2024-08-04 00:00:00,Payment Failure,59.41
418,1630,2023-12-01 00:00:00,Account Access,5.88
419,1631,2023-09-09 00:00:00,Payment Failure,54.37
420,1632,2024-08-14 00:00:00,Payment Failure,54.18
421,1635,2023-08-12 00:00:00,KYC Issue,35.97
422,1636,2024-10-18 00:00:00,Payment Failure,14.04
423,1638,2023-08-27 00:00:00,Payment Failure,71.79
424,1643,2024-05-18 00:00:00,Account Access,29.76
425,1645,2023-12-04 00:00:00,KYC Issue,41.82
426,1646,2024-03-17 00:00:00,KYC Issue,21.81
427,1650,2024-12-02 00:00:00,Payment Failure,28.5
428,1653,2023-02-08 00:00:00,Account Access,5.65
429,1656,2023-05-18 00:00:00,KYC Issue,45.88
430,1658,2024-09-10 00:00:00,KYC Issue,61.91
431,1659,2024-07-01 00:00:00,Payment Failure,45.54
432,1661,2023-09-24 00:00:00,Payment Failure,15.13
433,1662,2024-06-14 00:00:00,Payment Failure,43.11
434,1672,2024-09-06 00:00:00,KYC Issue,20.15
435,1673,2024-03-15 00:00:00,KYC Issue,8.45
436,1676,2023-04-18 00:00:00,KYC Issue,33.68
437,1678,2024-06-27 00:00:00,KYC Issue,59.94
438,1685,2024-07-30 00:00:00,Payment Failure,64.39
439,1686,2024-12-08 00:00:00,Payment Failure,7.63
440,1689,2023-06-23 00:00:00,KYC Issue,15.29
441,1700,2023-05-26 00:00:00,KYC Issue,24.42
442,1701,2024-04-04 00:00:00,Account Access,4.68
443,1702,2024-08-01 00:00:00,KYC Issue,64.72
444,1704,2024-11-23 00:00:00,Payment Failure,32.89
445,1708,2024-08-21 00:00:00,Account Access,42.13
446,1709,2023-11-22 00:00:00,KYC Issue,39.7
447,1712,2023-10-11 00:00:00,Account Access,38.11
448,1714,2023-04-03 00:00:00,KYC Issue,27.12
449,1715,2024-10-15 00:00:00,Account Access,22.38
450,1721,2023-11-26 00:00:00,KYC Issue,65.37
451,1726,2024-02-13 00:00:00,Payment Failure,33.56
452,1738,2023-03-13 00:00:00,Account Access,56.85
453,1739,2023-10-28 00:00:00,KYC Issue,18.16
454,1745,2023-01-24 00:00:00,KYC Issue,50.85
455,1746,2023-09-02 00:00:00,Payment Failure,15.1
456,1748,2024-06-14 00:00:00,Payment Failure,58.52
457,1753,2023-01-16 00:00:00,Payment Failure,17.55
458,1756,2024-10-14 00:00:00,Payment Failure,51.33
459,1758,2023-03-18 00:00:00,KYC Issue,55.15
460,1763,2023-07-26 00:00:00,KYC Issue,7.6
461,1777,2024-06-21 00:00:00,Account Access,8.03
462,1783,2024-05-10 00:00:00,KYC Issue,14.76
463,1789,2023-03-21 00:00:00,Account Access,7.87
464,1790,2024-02-07 00:00:00,Account Access,20.92
465,1793,2023-11-05 00:00:00,KYC Issue,46.84
466,1798,2023-09-01 00:00:00,Account Access,48.59
467,1799,2024-08-30 00:00:00,KYC Issue,46.21
468,1802,2024-09-27 00:00:00,Payment Failure,7.44
469,1805,2023-07-08 00:00:00,Payment Failure,28.07
470,1806,2024-02-01 00:00:00,KYC Issue,7.2
471,1807,2024-07-10 00:00:00,KYC Issue,23.2
472,1809,2023-06-05 00:00:00,KYC Issue,4.63
473,1811,2023-05-16 00:00:00,KYC Issue,31.49
474,1814,2024-11-05 00:00:00,Account Access,45.34
475,1815,2023-04-23 00:00:00,Payment Failure,15.29
476,1818,2024-05-31 00:00:00,Payment Failure,71.1
477,1822,2024-08-27 00:00:00,KYC Issue,65.57
478,1827,2023-05-26 00:00:00,KYC Issue,63.65
479,1828,2024-03-10 00:00:00,Account Access,10.01
480,1831,2024-07-04 00:00:00,Account Access,59.17
481,1840,2023-04-02 00:00:00,Payment Failure,65.32
482,1849,2023-11-17 00:00:00,KYC Issue,3.27
483,1850,2023-09-04 00:00:00,KYC Issue,43.94
484,1852,2024-04-19 00:00:00,Account Access,20.63
485,1853,2024-08-03 00:00:00,Account Access,4.74
486,1856,2024-07-20 00:00:00,Payment Failure,8.54
487,1860,2023-08-19 00:00:00,Account Access,20.01
488,1864,2023-12-22 00:00:00,Payment Failure,70.55
489,1865,2024-09-01 00:00:00,Account Access,22.2
490,1872,2024-07-25 00:00:00,KYC Issue,37.63
491,1873,2023-12-22 00:00:00,Payment Failure,62.29
492,1879,2023-10-23 00:00:00,KYC Issue,40.81
493,1880,2023-02-10 00:00:00,KYC Issue,11.75
494,1883,2025-01-21 00:00:00,Payment Failure,4.3
495,1896,2024-09-21 00:00:00,KYC Issue,59.64
496,1898,2023-06-18 00:00:00,Account Access,19.65
497,1904,2023-09-14 00:00:00,Payment Failure,17.44
