user_id,signup_date,acquisition_channel,country,device_type,kyc_status,kyc_completed_at
78,2024-11-24 00:00:00,organic,UK,iOS,rejected,
79,2023-11-09 00:00:00,paid_ads,UK,iOS,rejected,
80,2024-02-11 00:00:00,paid_ads,Ireland,Android,rejected,
81,2023-09-25 00:00:00,paid_ads,India,Android,approved,2023-09-27 00:00:00
82,2024-08-20 00:00:00,paid_ads,UK,iOS,approved,2024-08-24 00:00:00
83,2023-06-23 00:00:00,organic,UK,Android,approved,2023-06-28 00:00:00
84,2023-04-29 00:00:00,organic,UK,iOS,pending,
85,2023-10-02 00:00:00,affiliate,Ireland,Android,approved,2023-10-06 00:00:00
86,2024-06-04 00:00:00,paid_ads,UK,iOS,pending,
87,2024-05-31 00:00:00,organic,UK,iOS,rejected,
88,2023-07-02 00:00:00,referral,UK,iOS,approved,2023-07-06 00:00:00
89,2024-03-29 00:00:00,paid_ads,India,Android,pending,
90,2024-10-02 00:00:00,paid_ads,UK,iOS,approved,2024-10-05 00:00:00
91,2024-10-26 00:00:00,organic,UK,iOS,pending,
92,2023-01-26 00:00:00,affiliate,India,iOS,pending,
93,2024-07-04 00:00:00,referral,UK,iOS,approved,2024-07-08 00:00:00
94,2023-10-24 00:00:00,paid_ads,Ireland,iOS,approved,2023-10-28 00:00:00
95,2023-11-09 00:00:00,organic,UK,Android,pending,
96,2024-04-06 00:00:00,referral,UK,Android,approved,2024-04-09 00:00:00
97,2024-06-14 00:00:00,affiliate,Ireland,iOS,approved,2024-06-17 00:00:00
98,2024-06-08 00:00:00,organic,UK,iOS,approved,2024-06-12 00:00:00
99,2023-10-10 00:00:00,affiliate,Ireland,iOS,approved,2023-10-12 00:00:00
100,2024-12-29 00:00:00,affiliate,Ireland,Android,approved,2024-12-30 00:00:00
101,2023-10-11 00:00:00,organic,India,iOS,approved,2023-10-13 00:00:00
102,2023-02-25 00:00:00,referral,Ireland,Android,approved,2023-02-27 00:00:00
103,2023-12-12 00:00:00,referral,UK,iOS,pending,
104,2024-02-09 00:00:00,organic,Ireland,Android,approved,2024-02-13 00:00:00
105,2024-04-23 00:00:00,affiliate,UK,iOS,pending,
106,2024-01-23 00:00:00,organic,Ireland,Android,rejected,
107,2023-06-05 00:00:00,organic,UK,iOS,approved,2023-06-09 00:00:00
108,2023-05-05 00:00:00,affiliate,UK,iOS,pending,
109,2023-08-02 00:00:00,referral,UK,iOS,approved,2023-08-03 00:00:00
110,2023-03-12 00:00:00,referral,Ireland,Android,approved,2023-03-17 00:00:00
111,2023-03-23 00:00:00,referral,UK,iOS,rejected,
112,2024-03-01 00:00:00,paid_ads,UK,Android,rejected,
113,2024-03-29 00:00:00,affiliate,India,Android,rejected,
114,2024-01-20 00:00:00,paid_ads,India,iOS,pending,
115,2023-11-06 00:00:00,organic,India,iOS,rejected,
116,2024-10-09 00:00:00,referral,Ireland,iOS,approved,2024-10-14 00:00:00
117,2023-04-26 00:00:00,paid_ads,Ireland,iOS,approved,2023-04-27 00:00:00
118,2023-08-25 00:00:00,affiliate,UK,Android,pending,
119,2024-02-07 00:00:00,paid_ads,Ireland,Android,approved,2024-02-12 00:00:00
120,2023-11-13 00:00:00,paid_ads,India,Android,pending,
121,2024-02-27 00:00:00,organic,UK,iOS,approved,2024-03-02 00:00:00
122,2024-04-01 00:00:00,organic,Ireland,Android,pending,
123,2024-05-20 00:00:00,organic,UK,iOS,approved,2024-05-25 00:00:00
124,2023-08-01 00:00:00,paid_ads,India,iOS,approved,2023-08-03 00:00:00
125,2024-10-23 00:00:00,organic,Ireland,iOS,rejected,
126,2023-11-20 00:00:00,paid_ads,Ireland,Android,rejected,
127,2023-06-29 00:00:00,organic,UK,Android,pending,
128,2023-11-14 00:00:00,paid_ads,Ireland,Android,rejected,
129,2024-12-04 00:00:00,paid_ads,India,iOS,pending,
130,2023-05-01 00:00:00,organic,Ireland,iOS,pending,
131,2023-10-05 00:00:00,organic,UK,iOS,approved,2023-10-10 00:00:00
132,2024-05-13 00:00:00,organic,UK,iOS,approved,2024-05-16 00:00:00
133,2024-01-04 00:00:00,paid_ads,Ireland,Android,approved,2024-01-05 00:00:00
134,2023-08-31 00:00:00,paid_ads,Ireland,Android,approved,2023-09-01 00:00:00
135,2024-08-16 00:00:00,referral,Ireland,iOS,approved,2024-08-21 00:00:00
136,2023-10-09 00:00:00,affiliate,Ireland,iOS,approved,2023-10-11 00:00:00
137,2024-09-05 00:00:00,paid_ads,UK,iOS,pending,
138,2023-03-19 00:00:00,paid_ads,India,iOS,rejected,
139,2023-01-20 00:00:00,affiliate,Ireland,Android,pending,
140,2024-05-17 00:00:00,referral,Ireland,Android,pending,
141,2023-11-07 00:00:00,referral,UK,Android,approved,2023-11-10 00:00:00
142,2024-09-25 00:00:00,organic,UK,iOS,approved,2024-09-28 00:00:00
143,2023-06-02 00:00:00,paid_ads,India,iOS,pending,
144,2023-08-24 00:00:00,paid_ads,Ireland,iOS,rejected,
145,2024-04-13 00:00:00,paid_ads,UK,Android,approved,2024-04-18 00:00:00
146,2023-06-15 00:00:00,paid_ads,India,Android,approved,2023-06-17 00:00:00
147,2023-10-28 00:00:00,referral,UK,Android,approved,2023-10-29 00:00:00
148,2023-10-20 00:00:00,organic,Ireland,Android,rejected,
149,2024-08-11 00:00:00,organic,Ireland,iOS,approved,2024-08-14 00:00:00
150,2024-12-23 00:00:00,organic,India,Android,pending,
151,2023-10-12 00:00:00,organic,Ireland,Android,rejected,
152,2024-01-17 00:00:00,organic,Ireland,iOS,approved,2024-01-19 00:00:00
153,2024-04-28 00:00:00,organic,UK,iOS,pending,
154,2023-02-24 00:00:00,organic,Ireland,Android,approved,2023-03-01 00:00:00
155,2024-09-08 00:00:00,organic,India,iOS,approved,2024-09-11 00:00:00
156,2023-10-13 00:00:00,paid_ads,UK,Android,rejected,
157,2023-05-18 00:00:00,organic,UK,Android,approved,2023-05-20 00:00:00
158,2024-08-04 00:00:00,referral,Ireland,iOS,approved,2024-08-07 00:00:00
159,2024-04-23 00:00:00,organic,UK,Android,rejected,
160,2023-11-04 00:00:00,paid_ads,Ireland,Android,pending,
161,2024-02-20 00:00:00,organic,Ireland,iOS,approved,2024-02-24 00:00:00
162,2024-08-21 00:00:00,paid_ads,India,Android,pending,
163,2023-09-18 00:00:00,affiliate,Ireland,iOS,approved,2023-09-23 00:00:00
164,2024-05-18 00:00:00,referral,Ireland,Android,pending,
165,2024-10-18 00:00:00,paid_ads,UK,Android,approved,2024-10-21 00:00:00
166,2023-06-02 00:00:00,organic,Ireland,Android,approved,2023-06-06 00:00:00
167,2023-04-08 00:00:00,paid_ads,Ireland,Android,approved,2023-04-13 00:00:00
168,2024-06-22 00:00:00,paid_ads,Ireland,Android,approved,2024-06-23 00:00:00
169,2023-06-08 00:00:00,affiliate,UK,Android,approved,2023-06-09 00:00:00
170,2023-03-31 00:00:00,organic,Ireland,iOS,pending,
171,2024-03-01 00:00:00,paid_ads,UK,Android,approved,2024-03-05 00:00:00
172,2024-12-02 00:00:00,referral,UK,Android,approved,2024-12-05 00:00:00
173,2024-09-10 00:00:00,paid_ads,UK,Android,approved,2024-09-11 00:00:00
174,2023-01-07 00:00:00,organic,India,iOS,approved,2023-01-10 00:00:00
175,2024-06-16 00:00:00,affiliate,Ireland,Android,rejected,
176,2024-10-26 00:00:00,referral,Ireland,iOS,approved,2024-10-28 00:00:00
177,2024-06-09 00:00:00,affiliate,Ireland,iOS,approved,2024-06-14 00:00:00
178,2024-09-13 00:00:00,referral,UK,iOS,pending,
179,2024-07-08 00:00:00,organic,Ireland,iOS,approved,2024-07-12 00:00:00
180,2023-05-24 00:00:00,paid_ads,India,Android,approved,2023-05-27 00:00:00
181,2024-08-01 00:00:00,organic,UK,Android,pending,
182,2023-07-21 00:00:00,organic,Ireland,Android,approved,2023-07-22 00:00:00
183,2024-11-14 00:00:00,referral,UK,iOS,rejected,
184,2024-01-20 00:00:00,organic,Ireland,Android,approved,2024-01-21 00:00:00
185,2023-08-29 00:00:00,referral,Ireland,Android,rejected,
186,2024-04-23 00:00:00,referral,Ireland,iOS,approved,2024-04-27 00:00:00
187,2024-02-18 00:00:00,paid_ads,UK,iOS,approved,2024-02-19 00:00:00
188,2023-10-18 00:00:00,organic,Ireland,iOS,approved,2023-10-19 00:00:00
189,2023-10-26 00:00:00,paid_ads,Ireland,Android,rejected,
190,2023-11-30 00:00:00,referral,Ireland,iOS,approved,2023-12-04 00:00:00
191,2024-04-14 00:00:00,organic,UK,iOS,approved,2024-04-16 00:00:00
192,2023-11-22 00:00:00,affiliate,UK,iOS,rejected,
193,2023-08-23 00:00:00,paid_ads,Ireland,iOS,pending,
194,2023-07-29 00:00:00,organic,Ireland,Android,pending,
195,2023-03-15 00:00:00,referral,UK,iOS,pending,
196,2024-08-25 00:00:00,organic,India,Android,pending,
197,2024-11-09 00:00:00,paid_ads,Ireland,Android,rejected,
198,2024-02-12 00:00:00,paid_ads,Ireland,iOS,approved,2024-02-16 00:00:00
199,2023-02-16 00:00:00,affiliate,UK,Android,approved,2023-02-21 00:00:00
200,2023-04-29 00:00:00,paid_ads,Ireland,iOS,rejected,
201,2023-05-31 00:00:00,paid_ads,Ireland,Android,rejected,
202,2023-08-09 00:00:00,referral,UK,iOS,pending,
203,2023-01-23 00:00:00,referral,Ireland,Android,rejected,
204,2024-07-15 00:00:00,referral,Ireland,Android,rejected,
205,2023-06-01 00:00:00,referral,India,Android,approved,2023-06-04 00:00:00
206,2024-08-21 00:00:00,referral,India,Android,approved,2024-08-22 00:00:00
207,2024-06-15 00:00:00,affiliate,Ireland,iOS,approved,2024-06-18 00:00:00
208,2023-07-05 00:00:00,referral,UK,Android,approved,2023-07-09 00:00:00
209,2024-10-11 00:00:00,organic,UK,Android,approved,2024-10-14 00:00:00
210,2023-01-08 00:00:00,organic,UK,iOS,approved,2023-01-12 00:00:00
211,2024-06-21 00:00:00,referral,UK,iOS,approved,2024-06-26 00:00:00
212,2024-12-29 00:00:00,organic,India,Android,rejected,
213,2023-06-20 00:00:00,paid_ads,UK,iOS,approved,2023-06-22 00:00:00
214,2023-05-17 00:00:00,organic,UK,Android,pending,
215,2024-07-04 00:00:00,paid_ads,India,Android,rejected,
216,2023-06-30 00:00:00,organic,UK,Android,approved,2023-07-02 00:00:00
217,2024-09-09 00:00:00,organic,Ireland,iOS,pending,
218,2023-01-22 00:00:00,paid_ads,Ireland,iOS,pending,
219,2023-04-26 00:00:00,referral,India,iOS,pending,
220,2024-09-11 00:00:00,organic,Ireland,iOS,approved,2024-09-14 00:00:00
221,2024-12-13 00:00:00,affiliate,Ireland,Android,approved,2024-12-18 00:00:00
222,2023-11-03 00:00:00,referral,UK,iOS,approved,2023-11-04 00:00:00
223,2024-12-27 00:00:00,organic,India,iOS,approved,2024-12-29 00:00:00
224,2024-05-30 00:00:00,organic,India,iOS,approved,2024-06-04 00:00:00
225,2023-06-14 00:00:00,affiliate,UK,Android,approved,2023-06-17 00:00:00
226,2023-03-31 00:00:00,referral,UK,iOS,approved,2023-04-05 00:00:00
227,2024-03-16 00:00:00,affiliate,Ireland,iOS,rejected,
228,2023-01-11 00:00:00,paid_ads,India,iOS,approved,2023-01-13 00:00:00
229,2024-08-15 00:00:00,organic,Ireland,Android,approved,2024-08-17 00:00:00
230,2024-02-04 00:00:00,affiliate,Ireland,Android,approved,2024-02-05 00:00:00
231,2024-01-23 00:00:00,paid_ads,UK,iOS,pending,
232,2024-01-06 00:00:00,affiliate,Ireland,iOS,approved,2024-01-10 00:00:00
233,2024-05-22 00:00:00,referral,India,Android,approved,2024-05-25 00:00:00
234,2023-07-21 00:00:00,organic,UK,iOS,approved,2023-07-25 00:00:00
235,2023-06-01 00:00:00,paid_ads,India,Android,approved,2023-06-02 00:00:00
236,2024-04-08 00:00:00,affiliate,UK,Android,approved,2024-04-10 00:00:00
237,2023-10-22 00:00:00,paid_ads,Ireland,iOS,approved,2023-10-25 00:00:00
238,2023-04-23 00:00:00,organic,Ireland,Android,approved,2023-04-28 00:00:00
239,2024-11-06 00:00:00,affiliate,Ireland,iOS,approved,2024-11-10 00:00:00
240,2024-03-03 00:00:00,affiliate,Ireland,iOS,approved,2024-03-08 00:00:00
241,2023-10-24 00:00:00,paid_ads,UK,iOS,pending,
242,2024-08-15 00:00:00,organic,UK,iOS,approved,2024-08-18 00:00:00
243,2023-07-25 00:00:00,organic,Ireland,Android,approved,2023-07-27 00:00:00
244,2024-06-21 00:00:00,referral,Ireland,Android,approved,2024-06-24 00:00:00
245,2023-03-14 00:00:00,paid_ads,Ireland,iOS,approved,2023-03-15 00:00:00
246,2024-09-19 00:00:00,affiliate,India,iOS,approved,2024-09-20 00:00:00
247,2024-01-01 00:00:00,affiliate,India,iOS,approved,2024-01-06 00:00:00
248,2024-04-19 00:00:00,referral,UK,Android,rejected,
249,2024-07-23 00:00:00,organic,Ireland,Android,approved,2024-07-26 00:00:00
250,2023-02-15 00:00:00,paid_ads,Ireland,iOS,approved,2023-02-17 00:00:00
251,2023-08-09 00:00:00,referral,UK,Android,approved,2023-08-10 00:00:00
252,2024-07-24 00:00:00,organic,Ireland,iOS,pending,
253,2024-03-22 00:00:00,organic,UK,iOS,pending,
254,2023-05-27 00:00:00,organic,India,Android,approved,2023-05-30 00:00:00
255,2023-06-22 00:00:00,organic,India,Android,pending,
256,2023-04-30 00:00:00,affiliate,India,Android,approved,2023-05-02 00:00:00
257,2023-02-16 00:00:00,referral,Ireland,Android,approved,2023-02-17 00:00:00
258,2023-04-22 00:00:00,paid_ads,Ireland,Android,pending,
259,2024-06-19 00:00:00,paid_ads,UK,iOS,approved,2024-06-22 00:00:00
260,2023-03-21 00:00:00,referral,UK,iOS,approved,2023-03-25 00:00:00
261,2023-05-19 00:00:00,organic,UK,iOS,approved,2023-05-23 00:00:00
262,2023-08-08 00:00:00,affiliate,India,Android,rejected,
263,2023-07-15 00:00:00,referral,Ireland,Android,approved,2023-07-20 00:00:00
264,2023-01-04 00:00:00,referral,UK,iOS,pending,
265,2024-06-19 00:00:00,referral,UK,Android,rejected,
266,2023-11-27 00:00:00,referral,Ireland,Android,approved,2023-11-30 00:00:00
267,2023-05-23 00:00:00,organic,Ireland,Android,pending,
268,2023-06-26 00:00:00,referral,Ireland,iOS,approved,2023-06-28 00:00:00
269,2024-03-07 00:00:00,organic,Ireland,iOS,rejected,
270,2023-02-21 00:00:00,affiliate,UK,iOS,approved,2023-02-22 00:00:00
271,2023-07-05 00:00:00,paid_ads,Ireland,iOS,approved,2023-07-07 00:00:00
272,2023-09-19 00:00:00,referral,UK,Android,approved,2023-09-22 00:00:00
273,2024-04-05 00:00:00,organic,India,iOS,rejected,
274,2024-04-15 00:00:00,organic,UK,Android,pending,
275,2024-06-30 00:00:00,paid_ads,Ireland,Android,pending,
276,2024-12-17 00:00:00,organic,Ireland,iOS,approved,2024-12-18 00:00:00
277,2024-06-20 00:00:00,affiliate,UK,iOS,approved,2024-06-23 00:00:00
278,2023-11-08 00:00:00,organic,India,iOS,pending,
279,2024-09-16 00:00:00,organic,UK,iOS,approved,2024-09-18 00:00:00
280,2024-11-07 00:00:00,organic,UK,iOS,pending,
281,2024-10-11 00:00:00,organic,Ireland,iOS,approved,2024-10-13 00:00:00
282,2024-03-18 00:00:00,affiliate,Ireland,iOS,approved,2024-03-19 00:00:00
283,2024-08-13 00:00:00,organic,UK,iOS,approved,2024-08-18 00:00:00
284,2024-02-14 00:00:00,affiliate,Ireland,iOS,approved,2024-02-17 00:00:00
285,2024-11-15 00:00:00,organic,India,iOS,approved,2024-11-18 00:00:00
286,2024-10-05 00:00:00,affiliate,India,iOS,pending,
287,2023-12-12 00:00:00,affiliate,Ireland,iOS,rejected,
288,2024-07-10 00:00:00,organic,Ireland,iOS,approved,2024-07-13 00:00:00
289,2024-09-04 00:00:00,referral,UK,iOS,approved,2024-09-08 00:00:00
290,2024-03-07 00:00:00,paid_ads,UK,iOS,approved,2024-03-11 00:00:00
291,2024-07-14 00:00:00,paid_ads,UK,Android,approved,2024-07-18 00:00:00
292,2024-05-24 00:00:00,paid_ads,UK,iOS,pending,
293,2024-10-19 00:00:00,paid_ads,UK,iOS,pending,
294,2023-01-27 00:00:00,referral,India,Android,approved,2023-01-29 00:00:00
295,2024-07-05 00:00:00,paid_ads,Ireland,Android,rejected,
296,2023-08-18 00:00:00,referral,UK,iOS,approved,2023-08-22 00:00:00
297,2024-11-28 00:00:00,paid_ads,India,Android,pending,
298,2023-07-07 00:00:00,organic,Ireland,Android,pending,
299,2024-04-07 00:00:00,paid_ads,UK,iOS,pending,
300,2024-08-10 00:00:00,organic,Ireland,Android,approved,2024-08-14 00:00:00
301,2023-04-30 00:00:00,paid_ads,Ireland,iOS,rejected,
302,2024-05-17 00:00:00,organic,Ireland,Android,approved,2024-05-20 00:00:00
303,2023-07-02 00:00:00,referral,UK,iOS,approved,2023-07-04 00:00:00
304,2024-05-24 00:00:00,organic,UK,iOS,approved,2024-05-25 00:00:00
305,2024-04-10 00:00:00,referral,Ireland,iOS,approved,2024-04-14 00:00:00
306,2024-03-03 00:00:00,referral,UK,Android,approved,2024-03-07 00:00:00
307,2024-09-30 00:00:00,affiliate,UK,Android,approved,2024-10-03 00:00:00
308,2024-11-18 00:00:00,paid_ads,India,Android,pending,
309,2024-11-15 00:00:00,organic,UK,iOS,rejected,
310,2024-11-03 00:00:00,referral,Ireland,Android,pending,
311,2024-09-24 00:00:00,organic,UK,Android,pending,
312,2023-04-04 00:00:00,organic,UK,iOS,approved,2023-04-07 00:00:00
313,2024-05-26 00:00:00,referral,UK,iOS,approved,2024-05-28 00:00:00
314,2023-06-03 00:00:00,organic,Ireland,iOS,rejected,
315,2023-05-05 00:00:00,paid_ads,UK,iOS,pending,
316,2023-03-25 00:00:00,referral,UK,Android,rejected,
317,2023-10-10 00:00:00,paid_ads,Ireland,Android,approved,2023-10-11 00:00:00
318,2024-01-01 00:00:00,referral,Ireland,Android,approved,2024-01-06 00:00:00
319,2024-08-06 00:00:00,paid_ads,Ireland,Android,approved,2024-08-09 00:00:00
320,2024-08-16 00:00:00,paid_ads,Ireland,iOS,approved,2024-08-18 00:00:00
321,2023-10-15 00:00:00,paid_ads,UK,iOS,pending,
322,2024-01-17 00:00:00,referral,Ireland,iOS,rejected,
323,2023-05-21 00:00:00,referral,Ireland,iOS,pending,
324,2024-08-10 00:00:00,organic,India,iOS,approved,2024-08-14 00:00:00
325,2023-12-09 00:00:00,referral,Ireland,Android,rejected,
326,2023-09-17 00:00:00,referral,Ireland,Android,approved,2023-09-22 00:00:00
327,2023-12-12 00:00:00,organic,India,iOS,rejected,
328,2023-03-20 00:00:00,organic,UK,iOS,pending,
329,2024-03-24 00:00:00,referral,UK,iOS,rejected,
330,2024-11-11 00:00:00,organic,UK,iOS,approved,2024-11-13 00:00:00
331,2023-05-29 00:00:00,affiliate,Ireland,iOS,pending,
332,2024-03-18 00:00:00,organic,Ireland,iOS,approved,2024-03-21 00:00:00
333,2024-02-06 00:00:00,referral,Ireland,Android,approved,2024-02-11 00:00:00
334,2023-10-11 00:00:00,referral,Ireland,iOS,pending,
335,2023-02-25 00:00:00,organic,Ireland,iOS,approved,2023-02-26 00:00:00
336,2023-06-19 00:00:00,affiliate,India,iOS,approved,2023-06-23 00:00:00
337,2023-07-10 00:00:00,organic,Ireland,iOS,approved,2023-07-11 00:00:00
338,2024-04-05 00:00:00,affiliate,UK,Android,approved,2024-04-07 00:00:00
339,2023-05-30 00:00:00,affiliate,India,iOS,approved,2023-06-03 00:00:00
340,2023-06-19 00:00:00,affiliate,UK,iOS,rejected,
341,2024-02-27 00:00:00,paid_ads,Ireland,iOS,approved,2024-03-02 00:00:00
342,2024-04-08 00:00:00,referral,UK,iOS,approved,2024-04-10 00:00:00
343,2023-09-16 00:00:00,referral,India,iOS,rejected,
344,2023-07-08 00:00:00,organic,UK,Android,approved,2023-07-11 00:00:00
345,2024-11-10 00:00:00,organic,India,iOS,approved,2024-11-11 00:00:00
346,2023-06-23 00:00:00,paid_ads,UK,iOS,pending,
347,2023-03-20 00:00:00,affiliate,India,Android,approved,2023-03-23 00:00:00
348,2024-05-05 00:00:00,affiliate,UK,iOS,approved,2024-05-09 00:00:00
349,2024-10-26 00:00:00,referral,UK,iOS,approved,2024-10-28 00:00:00
350,2023-08-26 00:00:00,organic,Ireland,Android,pending,
351,2023-02-13 00:00:00,referral,Ireland,iOS,approved,2023-02-18 00:00:00
352,2024-02-25 00:00:00,referral,UK,iOS,pending,
353,2023-03-03 00:00:00,paid_ads,UK,iOS,approved,2023-03-06 00:00:00
354,2024-11-05 00:00:00,referral,Ireland,iOS,pending,
355,2024-09-08 00:00:00,paid_ads,Ireland,iOS,rejected,
356,2023-01-17 00:00:00,paid_ads,Ireland,Android,pending,
357,2024-05-16 00:00:00,paid_ads,Ireland,iOS,approved,2024-05-21 00:00:00
358,2023-04-29 00:00:00,paid_ads,Ireland,iOS,approved,2023-04-30 00:00:00
359,2023-07-02 00:00:00,organic,UK,Android,pending,
360,2024-05-31 00:00:00,paid_ads,UK,iOS,rejected,
361,2023-08-30 00:00:00,referral,UK,iOS,pending,
362,2024-01-20 00:00:00,paid_ads,UK,iOS,approved,2024-01-22 00:00:00
363,2024-01-13 00:00:00,organic,UK,iOS,pending,
364,2023-07-29 00:00:00,affiliate,Ireland,Android,rejected,
365,2023-08-02 00:00:00,paid_ads,India,iOS,pending,
366,2024-09-13 00:00:00,paid_ads,Ireland,iOS,approved,2024-09-14 00:00:00
367,2024-02-22 00:00:00,organic,Ireland,iOS,approved,2024-02-25 00:00:00
368,2024-09-04 00:00:00,paid_ads,UK,Android,approved,2024-09-08 00:00:00
